"","BioProject","country2","eth","region","depth"
"SRR6505714","PRJNA431126","china","chinese","guangzhou",64897
"SRR6505715","PRJNA431126","china","chinese","guangzhou",94203
"SRR6505716","PRJNA431126","china","chinese","guangzhou",71457
"SRR6505717","PRJNA431126","china","chinese","guangzhou",85337
"SRR6928750","PRJNA448494","india","indian","west_india",464505
"SRR6928761","PRJNA448494","india","indian","west_india",381961
"SRR6928762","PRJNA448494","india","indian","west_india",421254
"SRR6928763","PRJNA448494","india","indian","west_india",444755
"SRR6928764","PRJNA448494","india","indian","west_india",384197
"SRR6928765","PRJNA448494","india","indian","west_india",446406
"SRR6928766","PRJNA448494","india","indian","west_india",405515
"SRR6928768","PRJNA448494","india","indian","west_india",381356
"SRR6928770","PRJNA448494","india","indian","west_india",271545
"SRR6928774","PRJNA448494","india","indian","west_india",830775
"SRR6928778","PRJNA448494","india","indian","west_india",528378
"SRR6928779","PRJNA448494","india","indian","west_india",540349
"SRR6928780","PRJNA448494","india","indian","west_india",515652
"SRR6928783","PRJNA448494","india","indian","west_india",491830
"SRR6928790","PRJNA448494","india","indian","west_india",574635
"SRR6928791","PRJNA448494","india","indian","west_india",452198
"SRR6928805","PRJNA448494","india","indian","west_india",625802
"SRR6928806","PRJNA448494","india","indian","west_india",280099
"SRR6928809","PRJNA448494","india","indian","west_india",576023
"SRR6928811","PRJNA448494","india","indian","west_india",561202
"SRR7517455","PRJNA480923","china","chinese","undisclosed",76845
"SRR7517457","PRJNA480923","china","chinese","undisclosed",77311
"SRR7517459","PRJNA480923","china","chinese","undisclosed",77000
"SRR7517463","PRJNA480923","china","chinese","undisclosed",76760
"SRR7517464","PRJNA480923","china","chinese","undisclosed",77131
"SRR7517477","PRJNA480923","china","chinese","undisclosed",77016
"SRR7517483","PRJNA480923","china","chinese","undisclosed",76642
"SRR8413971","PRJNA513244","china","chinese","changhai",41416
"SRR8413972","PRJNA513244","china","chinese","changhai",40694
"SRR8413979","PRJNA513244","china","chinese","changhai",58943
"SRR8413980","PRJNA513244","china","chinese","changhai",52958
"SRR8413981","PRJNA513244","china","chinese","changhai",47774
"SRR8413982","PRJNA513244","china","chinese","changhai",51955
"SRR8413983","PRJNA513244","china","chinese","changhai",44814
"SRR8413984","PRJNA513244","china","chinese","changhai",49377
"SRR8413985","PRJNA513244","china","chinese","changhai",44313
"SRR8413986","PRJNA513244","china","chinese","changhai",52478
"SRR8413987","PRJNA513244","china","chinese","changhai",51143
"SRR8413988","PRJNA513244","china","chinese","changhai",48358
"SRR8413989","PRJNA513244","china","chinese","changhai",47647
"SRR8413990","PRJNA513244","china","chinese","changhai",45990
"SRR8413991","PRJNA513244","china","chinese","changhai",58242
"SRR8413992","PRJNA513244","china","chinese","changhai",48830
"SRR8413993","PRJNA513244","china","chinese","changhai",48199
"SRR8413994","PRJNA513244","china","chinese","changhai",59189
"SRR8413995","PRJNA513244","china","chinese","changhai",41404
"SRR8413996","PRJNA513244","china","chinese","changhai",60204
"SRR8414002","PRJNA513244","china","chinese","changhai",53192
"SRR8414005","PRJNA513244","china","chinese","changhai",48659
"SRR8414006","PRJNA513244","china","chinese","changhai",37720
"SRR8413973","PRJNA513244","china","chinese","changhai",46798
"SRR8413974","PRJNA513244","china","chinese","changhai",32926
"SRR8413975","PRJNA513244","china","chinese","changhai",29909
"SRR8413976","PRJNA513244","china","chinese","changhai",37658
"SRR8413977","PRJNA513244","china","chinese","changhai",58810
"SRR8413978","PRJNA513244","china","chinese","changhai",57519
"SRR8414007","PRJNA513244","china","chinese","changhai",43838
"SRR8414008","PRJNA513244","china","chinese","changhai",36319
"SRR8414039","PRJNA513244","china","chinese","changhai",52881
"SRR8414040","PRJNA513244","china","chinese","changhai",42829
"SRR8414041","PRJNA513244","china","chinese","changhai",32776
"SRR8414042","PRJNA513244","china","chinese","changhai",36476
"SRR8414045","PRJNA513244","china","chinese","changhai",49669
"SRR8414046","PRJNA513244","china","chinese","changhai",29713
"SRR8414047","PRJNA513244","china","chinese","changhai",50001
"SRR8414048","PRJNA513244","china","chinese","changhai",37641
"SRR8414049","PRJNA513244","china","chinese","changhai",38235
"SRR8414051","PRJNA513244","china","chinese","changhai",40930
"SRR8414052","PRJNA513244","china","chinese","changhai",42818
"SRR8414053","PRJNA513244","china","chinese","changhai",28529
"SRR8414054","PRJNA513244","china","chinese","changhai",30390
"SRR8414055","PRJNA513244","china","chinese","changhai",46474
"SRR8414056","PRJNA513244","china","chinese","changhai",40453
"SRR8414057","PRJNA513244","china","chinese","changhai",27144
"SRR8414058","PRJNA513244","china","chinese","changhai",51106
"SRR8414059","PRJNA513244","china","chinese","changhai",51751
"SRR8414060","PRJNA513244","china","chinese","changhai",30571
"SRR8414061","PRJNA513244","china","chinese","changhai",49102
"SRR8414062","PRJNA513244","china","chinese","changhai",24930
"SRR8414063","PRJNA513244","china","chinese","changhai",32329
"SRR8414064","PRJNA513244","china","chinese","changhai",51459
"SRR8414075","PRJNA513244","china","chinese","changhai",46801
"SRR8414076","PRJNA513244","china","chinese","changhai",35174
"SRR8414077","PRJNA513244","china","chinese","changhai",37591
"SRR8414078","PRJNA513244","china","chinese","changhai",31779
"SRR8414080","PRJNA513244","china","chinese","changhai",59368
"SRR8414091","PRJNA513244","china","chinese","changhai",36409
"SRR8414092","PRJNA513244","china","chinese","changhai",40923
"SRR8414093","PRJNA513244","china","chinese","changhai",35956
"SRR8414094","PRJNA513244","china","chinese","changhai",33088
"SRR8414095","PRJNA513244","china","chinese","changhai",33589
"SRR8414096","PRJNA513244","china","chinese","changhai",24504
"SRR8414097","PRJNA513244","china","chinese","changhai",50196
"SRR8414098","PRJNA513244","china","chinese","changhai",34282
"SRR8414099","PRJNA513244","china","chinese","changhai",40258
"SRR8414100","PRJNA513244","china","chinese","changhai",37835
"SRR8668369","PRJNA525566","india","indian","bihar",141200
"SRR8668373","PRJNA525566","india","indian","bihar",129326
"SRR8668375","PRJNA525566","india","indian","bihar",537146
"SRR8668394","PRJNA525566","india","indian","bihar",145877
"SRR8668396","PRJNA525566","india","indian","bihar",142859
"SRR8668398","PRJNA525566","india","indian","bihar",108268
"SRR8668400","PRJNA525566","india","indian","bihar",43713
"SRR8668402","PRJNA525566","india","indian","bihar",93309
"SRR8668432","PRJNA525566","india","indian","bihar",100313
"SRR8668434","PRJNA525566","india","indian","bihar",93857
"SRR8668436","PRJNA525566","india","indian","bihar",67459
"SRR8668438","PRJNA525566","india","indian","bihar",75825
"SRR8668441","PRJNA525566","india","indian","bihar",124008
"SRR8668456","PRJNA525566","india","indian","bihar",285312
"SRR8668458","PRJNA525566","india","indian","bihar",261462
"SRR8668460","PRJNA525566","india","indian","bihar",244612
"SRR8668462","PRJNA525566","india","indian","bihar",266913
"SRR8668464","PRJNA525566","india","indian","bihar",76889
"SRR8668467","PRJNA525566","india","indian","bihar",174708
"SRR8668469","PRJNA525566","india","indian","bihar",174574
"SRR8668471","PRJNA525566","india","indian","bihar",66498
"SRR8668473","PRJNA525566","india","indian","bihar",218422
"SRR8668475","PRJNA525566","india","indian","bihar",268641
"SRR8735493","PRJNA527121","india","indian","pune",958928
"SRR8735497","PRJNA527121","india","indian","pune",880911
"SRR8735501","PRJNA527121","india","indian","pune",605812
"SRR8735510","PRJNA527121","india","indian","pune",859771
"SRR8735516","PRJNA527121","india","indian","pune",851357
"SRR8735522","PRJNA527121","india","indian","pune",627448
"SRR8735526","PRJNA527121","india","indian","pune",859448
"SRR8735544","PRJNA527121","india","indian","pune",681818
"SRR8735559","PRJNA527121","india","indian","pune",825459
"SRR8735563","PRJNA527121","india","indian","pune",969436
"SRR9652407","PRJNA553183","india","indian","belagavi",82759
"SRR9652408","PRJNA553183","india","indian","belagavi",113290
"SRR9652409","PRJNA553183","india","indian","belagavi",117210
"SRR9652410","PRJNA553183","india","indian","belagavi",65116
"SRR9652411","PRJNA553183","india","indian","belagavi",68579
"SRR9652412","PRJNA553183","india","indian","belagavi",107792
"SRR9652413","PRJNA553183","india","indian","belagavi",105093
"SRR9652414","PRJNA553183","india","indian","belagavi",50162
"SRR9652415","PRJNA553183","india","indian","belagavi",95149
"SRR9652428","PRJNA553183","india","indian","belagavi",69052
"SRR9652430","PRJNA553183","india","indian","belagavi",79854
"SRR9652431","PRJNA553183","india","indian","belagavi",58361
"SRR9652433","PRJNA553183","india","indian","belagavi",49267
"SRR9652434","PRJNA553183","india","indian","belagavi",103286
"SRR9652435","PRJNA553183","india","indian","belagavi",85310
"SRR9652436","PRJNA553183","india","indian","belagavi",75776
"SRR9652437","PRJNA553183","india","indian","belagavi",61514
"SRR9652439","PRJNA553183","india","indian","belagavi",89172
"SRR9652440","PRJNA553183","india","indian","belagavi",83814
"SRR9652452","PRJNA553183","india","indian","belagavi",65258
"SRR9652453","PRJNA553183","india","indian","belagavi",60952
"SRR9652454","PRJNA553183","india","indian","belagavi",79430
"SRR9652455","PRJNA553183","india","indian","belagavi",74076
"SRR9652456","PRJNA553183","india","indian","belagavi",67563
"SRR9652457","PRJNA553183","india","indian","belagavi",48326
"SRR9652458","PRJNA553183","india","indian","belagavi",113892
"SRR9652460","PRJNA553183","india","indian","belagavi",108162
"SRR9652461","PRJNA553183","india","indian","belagavi",95433
"SRR9652462","PRJNA553183","india","indian","belagavi",20223
"SRR9652463","PRJNA553183","india","indian","belagavi",9770
"SRR9652464","PRJNA553183","india","indian","belagavi",12611
"SRR9652465","PRJNA553183","india","indian","belagavi",63017
"SRR9652466","PRJNA553183","india","indian","belagavi",20878
"SRR9652467","PRJNA553183","india","indian","belagavi",87507
"SRR9652468","PRJNA553183","india","indian","belagavi",68114
"SRR9652469","PRJNA553183","india","indian","belagavi",77961
"SRR9652470","PRJNA553183","india","indian","belagavi",109142
"SRR9652471","PRJNA553183","india","indian","belagavi",13233
"SRR9652472","PRJNA553183","india","indian","belagavi",13252
"SRR9652489","PRJNA553183","india","indian","belagavi",72285
"SRR9652490","PRJNA553183","india","indian","belagavi",68550
"SRR9652491","PRJNA553183","india","indian","belagavi",89009
"SRR9652492","PRJNA553183","india","indian","belagavi",85233
"SRR9652493","PRJNA553183","india","indian","belagavi",85164
"SRR9652495","PRJNA553183","india","indian","belagavi",84563
"SRR9652496","PRJNA553183","india","indian","belagavi",64231
"SRR9652497","PRJNA553183","india","indian","belagavi",101643
"SRR9652498","PRJNA553183","india","indian","belagavi",81734
"SRR9652499","PRJNA553183","india","indian","belagavi",79004
"SRR9652502","PRJNA553183","india","indian","belagavi",78342
"SRR9652511","PRJNA553183","india","indian","belagavi",107401
"SRR9652516","PRJNA553183","india","indian","belagavi",85494
"SRR9652517","PRJNA553183","india","indian","belagavi",182777
"SRR9652518","PRJNA553183","india","indian","belagavi",84167
"SRR9652519","PRJNA553183","india","indian","belagavi",88163
"SRR9652520","PRJNA553183","india","indian","belagavi",74387
"SRR9652521","PRJNA553183","india","indian","belagavi",88008
"SRR9652522","PRJNA553183","india","indian","belagavi",89315
"SRR9652523","PRJNA553183","india","indian","belagavi",89432
"SRR9652524","PRJNA553183","india","indian","belagavi",116745
"SRR9652527","PRJNA553183","india","indian","belagavi",116908
"SRR9652528","PRJNA553183","india","indian","belagavi",127705
"SRR9652529","PRJNA553183","india","indian","belagavi",48701
"SRR9652530","PRJNA553183","india","indian","belagavi",9392
"SRR9652531","PRJNA553183","india","indian","belagavi",9451
"SRR9652532","PRJNA553183","india","indian","belagavi",19365
"SRR9652533","PRJNA553183","india","indian","belagavi",150335
"SRR9652534","PRJNA553183","india","indian","belagavi",58695
"SRR9652545","PRJNA553183","india","indian","belagavi",103638
"SRR9652547","PRJNA553183","india","indian","belagavi",77332
"SRR9652569","PRJNA553183","india","indian","belagavi",90689
"SRR9652570","PRJNA553183","india","indian","belagavi",59853
"SRR9652571","PRJNA553183","india","indian","belagavi",119464
"SRR9652572","PRJNA553183","india","indian","belagavi",124987
"SRR9652573","PRJNA553183","india","indian","belagavi",73091
"SRR9652574","PRJNA553183","india","indian","belagavi",70669
"SRR9652575","PRJNA553183","india","indian","belagavi",84811
"SRR9652576","PRJNA553183","india","indian","belagavi",78222
"SRR9652577","PRJNA553183","india","indian","belagavi",111853
"SRR9652578","PRJNA553183","india","indian","belagavi",97569
"SRR9652579","PRJNA553183","india","indian","belagavi",141059
"SRR9652585","PRJNA553183","india","indian","belagavi",113733
"SRR9652586","PRJNA553183","india","indian","belagavi",93885
"SRR9652587","PRJNA553183","india","indian","belagavi",72278
"SRR9652591","PRJNA553183","india","indian","belagavi",56067
"SRR9652592","PRJNA553183","india","indian","belagavi",87684
"SRR9652593","PRJNA553183","india","indian","belagavi",68397
"SRR9652594","PRJNA553183","india","indian","belagavi",70206
"SRR9652595","PRJNA553183","india","indian","belagavi",111449
"SRR9652596","PRJNA553183","india","indian","belagavi",154339
"SRR9652597","PRJNA553183","india","indian","belagavi",48653
"SRR9652598","PRJNA553183","india","indian","belagavi",126053
"SRR9652599","PRJNA553183","india","indian","belagavi",114301
"SRR9652600","PRJNA553183","india","indian","belagavi",127052
"SRR9652601","PRJNA553183","india","indian","belagavi",96571
"SRR9652602","PRJNA553183","india","indian","belagavi",121118
"SRR9652609","PRJNA553183","india","indian","belagavi",72917
"SRR9652459","PRJNA553183","india","indian","belagavi",121669
"SRR9652525","PRJNA553183","india","indian","belagavi",76002
"SRR9652494","PRJNA553183","india","indian","belagavi",95265
"SRR10193778","PRJNA574565","china","chinese","shanghai",34969
"SRR10193779","PRJNA574565","china","chinese","shanghai",45161
"SRR10193780","PRJNA574565","china","chinese","shanghai",33600
"SRR10193781","PRJNA574565","china","chinese","shanghai",35202
"SRR10193783","PRJNA574565","china","chinese","shanghai",58132
"SRR10193788","PRJNA574565","china","chinese","shanghai",34687
"SRR10193791","PRJNA574565","china","chinese","shanghai",50049
"SRR10193793","PRJNA574565","china","chinese","shanghai",58045
"SRR10193794","PRJNA574565","china","chinese","shanghai",61911
"SRR10193795","PRJNA574565","china","chinese","shanghai",53759
"SRR10193796","PRJNA574565","china","chinese","shanghai",60053
"SRR10193797","PRJNA574565","china","chinese","shanghai",52837
"SRR10193799","PRJNA574565","china","chinese","shanghai",50307
"SRR10193802","PRJNA574565","china","chinese","shanghai",46031
"SRR10193806","PRJNA574565","china","chinese","shanghai",34182
"SRR10193809","PRJNA574565","china","chinese","shanghai",54814
"SRR10193811","PRJNA574565","china","chinese","shanghai",38495
"SRR10193812","PRJNA574565","china","chinese","shanghai",43498
"SRR10193813","PRJNA574565","china","chinese","shanghai",81992
"SRR10193816","PRJNA574565","china","chinese","shanghai",45137
"SRR10193817","PRJNA574565","china","chinese","shanghai",46744
"SRR10193818","PRJNA574565","china","chinese","shanghai",48629
"SRR10193819","PRJNA574565","china","chinese","shanghai",50176
"SRR10193821","PRJNA574565","china","chinese","shanghai",51779
"SRR10193822","PRJNA574565","china","chinese","shanghai",49995
"SRR10193823","PRJNA574565","china","chinese","shanghai",37630
"SRR10193824","PRJNA574565","china","chinese","shanghai",41325
"SRR10193829","PRJNA574565","china","chinese","shanghai",104600
"SRR10193830","PRJNA574565","china","chinese","shanghai",54702
"SRR10193834","PRJNA574565","china","chinese","shanghai",40554
"SRR10193835","PRJNA574565","china","chinese","shanghai",48818
"SRR10193836","PRJNA574565","china","chinese","shanghai",53593
"SRR10193850","PRJNA574565","china","chinese","shanghai",55698
"SRR10193855","PRJNA574565","china","chinese","shanghai",46267
"SRR10193856","PRJNA574565","china","chinese","shanghai",43158
"SRR10193859","PRJNA574565","china","chinese","shanghai",37931
"SRR10193860","PRJNA574565","china","chinese","shanghai",30332
"SRR10193866","PRJNA574565","china","chinese","shanghai",39870
"SRR10193867","PRJNA574565","china","chinese","shanghai",46311
"SRR10193869","PRJNA574565","china","chinese","shanghai",46573
"SRR10193871","PRJNA574565","china","chinese","shanghai",57516
"SRR10193873","PRJNA574565","china","chinese","shanghai",37695
"SRR10193875","PRJNA574565","china","chinese","shanghai",134614
"SRR10193876","PRJNA574565","china","chinese","shanghai",49665
"SRR10193878","PRJNA574565","china","chinese","shanghai",46041
"SRR10193879","PRJNA574565","china","chinese","shanghai",46133
"SRR10193885","PRJNA574565","china","chinese","shanghai",41347
"SRR10193886","PRJNA574565","china","chinese","shanghai",54042
"SRR10193888","PRJNA574565","china","chinese","shanghai",108130
"SRR10193889","PRJNA574565","china","chinese","shanghai",50449
"SRR10193895","PRJNA574565","china","chinese","shanghai",37786
"SRR10193896","PRJNA574565","china","chinese","shanghai",49574
"SRR10193897","PRJNA574565","china","chinese","shanghai",41886
"SRR10193900","PRJNA574565","china","chinese","shanghai",43838
"SRR10193901","PRJNA574565","china","chinese","shanghai",118257
"SRR10193902","PRJNA574565","china","chinese","shanghai",53036
"SRR10193815","PRJNA574565","china","chinese","shanghai",106674
"SRR10193838","PRJNA574565","china","chinese","shanghai",44943
"SRR10193890","PRJNA574565","china","chinese","shanghai",44143
"SRR10193820","PRJNA574565","china","chinese","shanghai",58505
"SRR10297535","PRJNA578008","china","chinese","daocheng",17644
"SRR10297536","PRJNA578008","china","chinese","daocheng",5481
"SRR10297537","PRJNA578008","china","chinese","daocheng",11085
"SRR10297538","PRJNA578008","china","chinese","daocheng",23657
"SRR10297539","PRJNA578008","china","chinese","daocheng",13562
"SRR10297540","PRJNA578008","china","chinese","daocheng",10005
"SRR10297541","PRJNA578008","china","chinese","daocheng",15169
"SRR10297542","PRJNA578008","china","chinese","daocheng",8146
"SRR10297543","PRJNA578008","china","chinese","daocheng",17800
"SRR10297544","PRJNA578008","china","chinese","daocheng",13312
"SRR10297546","PRJNA578008","china","chinese","daocheng",7823
"SRR10297547","PRJNA578008","china","chinese","daocheng",9540
"SRR10297548","PRJNA578008","china","chinese","daocheng",19831
"SRR10297549","PRJNA578008","china","chinese","daocheng",7746
"SRR10297550","PRJNA578008","china","chinese","daocheng",15810
"SRR10297551","PRJNA578008","china","chinese","daocheng",7387
"SRR10297552","PRJNA578008","china","chinese","daocheng",12630
"SRR10297553","PRJNA578008","china","chinese","daocheng",12973
"SRR10297554","PRJNA578008","china","chinese","daocheng",16468
"SRR10297555","PRJNA578008","china","chinese","daocheng",17010
"SRR10297557","PRJNA578008","china","chinese","daocheng",5673
"SRR10297558","PRJNA578008","china","chinese","daocheng",18223
"SRR10297559","PRJNA578008","china","chinese","daocheng",17485
"SRR10297560","PRJNA578008","china","chinese","daocheng",9796
"SRR10297561","PRJNA578008","china","chinese","daocheng",13476
"SRR10297562","PRJNA578008","china","chinese","daocheng",23810
"SRR10297630","PRJNA578008","china","chinese","dujiangyan",15214
"SRR10297631","PRJNA578008","china","chinese","dujiangyan",11255
"SRR10297632","PRJNA578008","china","chinese","dujiangyan",23078
"SRR10297633","PRJNA578008","china","chinese","dujiangyan",24645
"SRR10297634","PRJNA578008","china","chinese","dujiangyan",25065
"SRR10297635","PRJNA578008","china","chinese","dujiangyan",14463
"SRR10297636","PRJNA578008","china","chinese","dujiangyan",19664
"SRR10297637","PRJNA578008","china","chinese","dujiangyan",15008
"SRR10297638","PRJNA578008","china","chinese","dujiangyan",22961
"SRR10297640","PRJNA578008","china","chinese","dujiangyan",12313
"SRR10297641","PRJNA578008","china","chinese","dujiangyan",26437
"SRR10297642","PRJNA578008","china","chinese","dujiangyan",25263
"SRR10297643","PRJNA578008","china","chinese","dujiangyan",9786
"SRR10297644","PRJNA578008","china","chinese","dujiangyan",20550
"SRR10297645","PRJNA578008","china","chinese","dujiangyan",25619
"SRR10297646","PRJNA578008","china","chinese","dujiangyan",30094
"SRR10297647","PRJNA578008","china","chinese","dujiangyan",12604
"SRR10297648","PRJNA578008","china","chinese","dujiangyan",24640
"SRR10297649","PRJNA578008","china","chinese","dujiangyan",22203
"SRR10297651","PRJNA578008","china","chinese","dujiangyan",18095
"SRR10297652","PRJNA578008","china","chinese","dujiangyan",13866
"SRR10297653","PRJNA578008","china","chinese","dujiangyan",24178
"SRR10297654","PRJNA578008","china","chinese","daocheng",15640
"SRR10297655","PRJNA578008","china","chinese","daocheng",23164
"SRR10297656","PRJNA578008","china","chinese","daocheng",13070
"SRR10297657","PRJNA578008","china","chinese","daocheng",14463
"SRR10297658","PRJNA578008","china","chinese","daocheng",33842
"SRR10297659","PRJNA578008","china","chinese","daocheng",10051
"SRR10297660","PRJNA578008","china","chinese","daocheng",14540
"JD-100","PRJNA631204","malaysia","indian","segamat",93657
"JD-101","PRJNA631204","malaysia","indian","segamat",49114
"JD-10","PRJNA631204","malaysia","indian","segamat",53317
"JD-102","PRJNA631204","malaysia","indian","segamat",29781
"JD-103","PRJNA631204","malaysia","indian","segamat",81833
"JD-104","PRJNA631204","malaysia","indian","segamat",33095
"JD-105","PRJNA631204","malaysia","chinese","segamat",59523
"JD-106","PRJNA631204","malaysia","chinese","segamat",43237
"JD-107","PRJNA631204","malaysia","chinese","segamat",55649
"JD-108","PRJNA631204","malaysia","chinese","segamat",49322
"JD-109","PRJNA631204","malaysia","chinese","segamat",24766
"JD-110","PRJNA631204","malaysia","chinese","segamat",37748
"JD-111","PRJNA631204","malaysia","chinese","segamat",35200
"JD-11","PRJNA631204","malaysia","indian","segamat",74087
"JD-112","PRJNA631204","malaysia","chinese","segamat",75692
"JD-113","PRJNA631204","malaysia","chinese","segamat",24418
"JD-114","PRJNA631204","malaysia","chinese","segamat",184748
"JD-115","PRJNA631204","malaysia","chinese","segamat",42413
"JD-116","PRJNA631204","malaysia","chinese","segamat",38780
"JD-117","PRJNA631204","malaysia","chinese","segamat",67382
"JD-118","PRJNA631204","malaysia","chinese","segamat",101686
"JD-119","PRJNA631204","malaysia","chinese","segamat",83183
"JD-120","PRJNA631204","malaysia","chinese","segamat",38685
"JD-121","PRJNA631204","malaysia","chinese","segamat",67990
"JD-12","PRJNA631204","malaysia","chinese","segamat",54206
"JD-122","PRJNA631204","malaysia","chinese","segamat",71882
"JD-123","PRJNA631204","malaysia","chinese","segamat",53060
"JD-124","PRJNA631204","malaysia","chinese","segamat",80340
"JD-125","PRJNA631204","malaysia","chinese","segamat",38847
"JD-126","PRJNA631204","malaysia","chinese","segamat",58774
"JD-127","PRJNA631204","malaysia","chinese","segamat",82266
"JD-128","PRJNA631204","malaysia","chinese","segamat",67038
"JD-129","PRJNA631204","malaysia","chinese","segamat",58982
"JD-130","PRJNA631204","malaysia","chinese","segamat",66002
"JD-131","PRJNA631204","malaysia","chinese","segamat",65157
"JD-13","PRJNA631204","malaysia","chinese","segamat",29974
"JD-132","PRJNA631204","malaysia","chinese","segamat",80858
"JD-133","PRJNA631204","malaysia","chinese","segamat",47539
"JD-134","PRJNA631204","malaysia","chinese","segamat",31374
"JD-135","PRJNA631204","malaysia","chinese","segamat",37843
"JD-136","PRJNA631204","malaysia","chinese","segamat",41189
"JD-137","PRJNA631204","malaysia","chinese","segamat",31870
"JD-138","PRJNA631204","malaysia","chinese","segamat",48333
"JD-139","PRJNA631204","malaysia","chinese","segamat",42191
"JD-140","PRJNA631204","malaysia","chinese","segamat",75014
"JD-14","PRJNA631204","malaysia","chinese","segamat",49210
"JD-142","PRJNA631204","malaysia","chinese","segamat",66104
"JD-143","PRJNA631204","malaysia","chinese","segamat",47853
"JD-144","PRJNA631204","malaysia","chinese","segamat",74363
"JD-145","PRJNA631204","malaysia","chinese","segamat",77307
"JD-146","PRJNA631204","malaysia","chinese","segamat",45536
"JD-147","PRJNA631204","malaysia","chinese","segamat",43330
"JD-148","PRJNA631204","malaysia","chinese","segamat",53043
"JD-149","PRJNA631204","malaysia","chinese","segamat",40068
"JD-150","PRJNA631204","malaysia","chinese","segamat",58691
"JD-151","PRJNA631204","malaysia","chinese","segamat",65516
"JD-15","PRJNA631204","malaysia","indian","segamat",46879
"JD-152","PRJNA631204","malaysia","chinese","segamat",90399
"JD-153","PRJNA631204","malaysia","malay","segamat",54143
"JD-154","PRJNA631204","malaysia","malay","segamat",56015
"JD-155","PRJNA631204","malaysia","malay","segamat",47522
"JD-156","PRJNA631204","malaysia","malay","segamat",52895
"JD-157","PRJNA631204","malaysia","malay","segamat",76376
"JD-158","PRJNA631204","malaysia","malay","segamat",128434
"JD-159","PRJNA631204","malaysia","malay","segamat",114845
"JD-160","PRJNA631204","malaysia","malay","segamat",67163
"JD-161","PRJNA631204","malaysia","chinese","segamat",111571
"JD-16","PRJNA631204","malaysia","chinese","segamat",58812
"JD-162","PRJNA631204","malaysia","chinese","segamat",103020
"JD-163","PRJNA631204","malaysia","malay","segamat",82041
"JD-164","PRJNA631204","malaysia","malay","segamat",94749
"JD-165","PRJNA631204","malaysia","chinese","segamat",70892
"JD-166","PRJNA631204","malaysia","chinese","segamat",110658
"JD-167","PRJNA631204","malaysia","malay","segamat",120701
"JD-168","PRJNA631204","malaysia","malay","segamat",142553
"JD-169","PRJNA631204","malaysia","malay","segamat",103152
"JD-170","PRJNA631204","malaysia","malay","segamat",101627
"JD-171","PRJNA631204","malaysia","malay","segamat",105442
"JD-17","PRJNA631204","malaysia","chinese","segamat",23561
"JD-172","PRJNA631204","malaysia","malay","segamat",95782
"JD-173","PRJNA631204","malaysia","malay","segamat",61071
"JD-174","PRJNA631204","malaysia","malay","segamat",112044
"JD-175","PRJNA631204","malaysia","malay","segamat",76373
"JD-176","PRJNA631204","malaysia","malay","segamat",120680
"JD-177","PRJNA631204","malaysia","malay","segamat",77572
"JD-178","PRJNA631204","malaysia","malay","segamat",34294
"JD-180","PRJNA631204","malaysia","malay","segamat",258912
"JD-181","PRJNA631204","malaysia","malay","segamat",50207
"JD-18","PRJNA631204","malaysia","chinese","segamat",62529
"JD-182","PRJNA631204","malaysia","malay","segamat",68454
"JD-183","PRJNA631204","malaysia","malay","segamat",24754
"JD-184","PRJNA631204","malaysia","malay","segamat",288402
"JD-185","PRJNA631204","malaysia","malay","segamat",52128
"JD-186","PRJNA631204","malaysia","malay","segamat",80680
"JD-187","PRJNA631204","malaysia","malay","segamat",49844
"JD-188","PRJNA631204","malaysia","malay","segamat",230745
"JD-189","PRJNA631204","malaysia","malay","segamat",54020
"JD-190","PRJNA631204","malaysia","malay","segamat",53672
"JD-191","PRJNA631204","malaysia","malay","segamat",29042
"JD-19","PRJNA631204","malaysia","chinese","segamat",42874
"JD-192","PRJNA631204","malaysia","malay","segamat",97735
"JD-193","PRJNA631204","malaysia","malay","segamat",89504
"JD-195","PRJNA631204","malaysia","malay","segamat",41081
"JD-196","PRJNA631204","malaysia","malay","segamat",257925
"JD-197","PRJNA631204","malaysia","malay","segamat",56834
"JD-198","PRJNA631204","malaysia","malay","segamat",35122
"JD-199","PRJNA631204","malaysia","malay","segamat",38524
"JD-200","PRJNA631204","malaysia","malay","segamat",34703
"JD-201","PRJNA631204","malaysia","malay","segamat",65589
"JD-202","PRJNA631204","malaysia","malay","segamat",76472
"JD-203","PRJNA631204","malaysia","malay","segamat",66447
"JD-204","PRJNA631204","malaysia","malay","segamat",43903
"JD-205","PRJNA631204","malaysia","malay","segamat",91705
"JD-206","PRJNA631204","malaysia","malay","segamat",33428
"JD-207","PRJNA631204","malaysia","malay","segamat",38295
"JD-25","PRJNA631204","malaysia","chinese","segamat",54091
"JD-28","PRJNA631204","malaysia","indian","segamat",253429
"JD-29","PRJNA631204","malaysia","indian","segamat",35610
"JD-31","PRJNA631204","malaysia","indian","segamat",31895
"JD-34","PRJNA631204","malaysia","indian","segamat",31349
"JD-35","PRJNA631204","malaysia","indian","segamat",55411
"JD-36","PRJNA631204","malaysia","chinese","segamat",32738
"JD-37","PRJNA631204","malaysia","chinese","segamat",51620
"JD-38","PRJNA631204","malaysia","chinese","segamat",61365
"JD-39","PRJNA631204","malaysia","chinese","segamat",44357
"JD-40","PRJNA631204","malaysia","indian","segamat",52292
"JD-41","PRJNA631204","malaysia","indian","segamat",82907
